BINARY;VERSION;CVE identifier;CVSS rating;exploit db exploit available;metasploit module;trickest PoC;Routersploit;Snyk PoC;Packetstormsecurity PoC;local exploit;remote exploit;DoS exploit;known exploited vuln;kernel vulnerability verified;FIRST EPSS;FIRST PERC;
openssl;0.9.8b;CVE-2016-0704;4.3 (v2);6;0;0;0/0;0;0;0;0;0;0;no;1;87;
openssl;0.9.8b;CVE-2015-4000;4.3 (v2);6;1;0;0/0;0;0;0;0;0;0;no;97;99;
openssl;0.9.8b;CVE-2016-2109;7.8 (v2);6;0;0;0/0;0;0;0;0;0;0;no;82;98;
openssl;0.9.8b;CVE-2016-2108;10.0 (v2);6;0;0;0/0;0;0;0;0;0;0;no;89;98;
openssl;0.9.8b;CVE-2016-2176;6.4 (v2);6;0;0;0/0;0;0;0;0;0;0;no;65;97;
openssl;0.9.8b;CVE-2016-7798;7.5;6;0;0;0/0;0;0;0;0;0;0;no;0;73;
openssl;0.9.8b;CVE-2016-7056;2.1 (v2);6;0;0;0/0;0;0;0;0;0;0;no;0;10;
openssl;0.9.8b;CVE-2021-4044;7.5;6;0;0;0/0;0;0;0;0;0;0;no;0;57;
openssl;0.9.8b;CVE-2017-3735;5.0 (v2);6;0;0;0/0;0;0;0;0;0;0;no;2;90;
openssl;0.9.8b;CVE-2018-16395;7.5 (v2);6;0;0;0/0;0;0;0;0;0;0;no;0;82;
openssl;0.9.8b;CVE-2016-2107;5.9;12;0;0;0/0;0;0;0;0;0;0;no;96;99;
linux_kernel;2.6.30.9;CVE-2009-1895;7.2 (v2);6;0;0;0/0;0;0;0;0;0;0;no;0;27;
linux_kernel;2.6.30.9;CVE-2007-4998;6.9 (v2);6;0;0;0/0;0;0;0;0;0;0;no;0;5;
linux_kernel;2.6.30.9;CVE-2009-3620;7.8;6;0;0;0/0;0;0;0;0;0;0;no;0;13;
linux_kernel;2.6.30.9;CVE-2009-3080;7.2 (v2);6;0;0;0/0;0;0;0;0;0;0;no;0;21;
linux_kernel;2.6.30.9;CVE-2006-2935;4.6 (v2);6;0;0;0/0;0;0;0;0;0;0;no;0;10;
linux_kernel;2.6.30.9;CVE-1999-0656;5.0 (v2);6;0;0;0/0;0;0;0;0;0;0;no;0;74;
linux_kernel;2.6.30.9;CVE-2009-1298;7.8 (v2);6;0;0;0/0;0;0;0;0;0;0;no;28;96;
linux_kernel;2.6.30.9;CVE-2009-2768;7.8;6;0;0;0/0;0;0;0;0;0;0;no;0;5;
linux_kernel;2.6.30.9;CVE-2009-2695;7.2 (v2);6;0;0;0/0;0;0;0;0;0;0;no;0;10;
linux_kernel;2.6.30.9;CVE-2009-2903;7.1 (v2);6;0;0;0/0;0;0;0;0;0;0;no;2;90;
linux_kernel;2.6.30.9;CVE-2009-2909;4.9 (v2);6;0;0;0/0;0;0;0;0;0;0;no;0;5;
linux_kernel;2.6.30.9;CVE-2009-2910;2.1 (v2);6;0;0;0/0;0;0;0;0;0;0;no;0;10;
linux_kernel;2.6.30.9;CVE-2009-3280;7.8 (v2);6;0;0;0/0;0;0;0;0;0;0;no;0;78;
linux_kernel;2.6.30.9;CVE-2009-2846;7.8 (v2);6;0;0;0/0;0;0;0;0;0;0;no;0;5;
linux_kernel;2.6.30.9;CVE-2009-3623;7.8 (v2);6;0;0;0/0;0;0;0;0;0;0;no;4;92;
linux_kernel;2.6.30.9;CVE-2009-3638;7.2 (v2);6;0;0;0/0;0;0;0;0;0;0;no;0;10;
linux_kernel;2.6.30.9;CVE-2009-3612;2.1 (v2);6;0;0;0/0;0;0;0;0;0;0;no;0;10;
linux_kernel;2.6.30.9;CVE-2009-3228;2.1 (v2);6;0;0;0/0;0;0;0;0;0;0;no;0;10;
